"Description","Course code","Start week (ISO)","Start day","Start date","Start time","End day","End date","End time","Duration","Type","Staff member(s)","Location(s)","Group(s)","Faculty/Department","Size","Note","Draft","Online activity"
"Research Skills","FDMCI/I/HBO/ICTVT_1000RSK_17","5","Mon","2021-02-01","11:10","Mon","2021-02-01","12:00","0:50","seminar / tutorial","Raaphorst, R. van","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Object Oriented Programming 2","FDMCI/I/HBO/ICTVT_1000OOP219","5","Mon","2021-02-01","12:50","Mon","2021-02-01","14:30","1:40","practical lab","Smith, M.","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Project Agile Development","FDMCI/I/HBO/ICTVT_1000PAD_18","5","Tue","2021-02-02","08:30","Tue","2021-02-02","11:50","3:20","project","Leek, P., Smith, M.","","FDMCI_IS103, FDMCI_IS104","HBO-ICT Voltijd","0","","No","Yes"
"Infrastructure","FDMCI/I/HBO/ICTVT_1000INF_18","5","Tue","2021-02-02","12:50","Tue","2021-02-02","14:30","1:40","seminar / tutorial","Meijer, F. van","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"OnCampus Jaar 1 SE","FDMCI/I/HBO/ICTVT_ONCAMPUS J1 SE","5","Wed","2021-02-03","12:40","Wed","2021-02-03","17:40","5:00","Onderwijs Gerelateerde Boeking","","","FDMCI_IS103a","HBO-ICT Voltijd","10","I.v.m. maatregelen regering lokaal voorlopig nog niet zichtbaar","No","Yes"
"Project Agile Development","FDMCI/I/HBO/ICTVT_1000PAD_18","5","Thu","2021-02-04","08:30","Thu","2021-02-04","11:50","3:20","project","","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104","HBO-ICT Voltijd","0","","No","Yes"
"Essential Skills Wiskunde","FDMCI/I/HBO/ICTVT_1000ESKW14","5","Fri","2021-02-05","10:20","Fri","2021-02-05","12:00","1:40","seminar / tutorial","Meijeringh, R.C., Rijsenbrij, C.J., Robertus, A., Roos, R., Ziskoven, B.","","FDMCI_IG101, FDMCI_IG102, FDMCI_IG103, FDMCI_IG104, FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104, FDMCI_IS105, FDMCI_IS106, FDMCI_IS107, FDMCI_IS108, FDMCI_IS109, FDMCI_IS110","HBO-ICT Voltijd","0","","No","Yes"
"Object Oriented Programming 2","FDMCI/I/HBO/ICTVT_1000OOP219","5","Fri","2021-02-05","12:00","Fri","2021-02-05","13:40","1:40","lecture","Fonteijn, L., Meijer, P.","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104, FDMCI_IS105, FDMCI_IS106, FDMCI_IS107, FDMCI_IS108, FDMCI_IS109, FDMCI_IS110","HBO-ICT Voltijd","0","","No","Yes"
"Research Skills","FDMCI/I/HBO/ICTVT_1000RSK_17","6","Mon","2021-02-08","11:10","Mon","2021-02-08","12:00","0:50","seminar / tutorial","Raaphorst, R. van","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Object Oriented Programming 2","FDMCI/I/HBO/ICTVT_1000OOP219","6","Mon","2021-02-08","12:50","Mon","2021-02-08","14:30","1:40","practical lab","Smith, M.","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Essential Skills Nederlands","FDMCI/I/HBO/ICTVT_1000ESKN16","6","Mon","2021-02-08","14:30","Mon","2021-02-08","16:10","1:40","seminar / tutorial","Kruidhof, S.","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Project Agile Development","FDMCI/I/HBO/ICTVT_1000PAD_18","6","Tue","2021-02-09","08:30","Tue","2021-02-09","11:50","3:20","project","Leek, P., Smith, M.","","FDMCI_IS103, FDMCI_IS104","HBO-ICT Voltijd","0","","No","Yes"
"Infrastructure","FDMCI/I/HBO/ICTVT_1000INF_18","6","Tue","2021-02-09","12:50","Tue","2021-02-09","14:30","1:40","seminar / tutorial","Meijer, F. van","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"OnCampus Jaar 1 SE","FDMCI/I/HBO/ICTVT_ONCAMPUS J1 SE","6","Wed","2021-02-10","12:40","Wed","2021-02-10","17:40","5:00","Onderwijs Gerelateerde Boeking","","","FDMCI_IS103a","HBO-ICT Voltijd","10","I.v.m. maatregelen regering lokaal voorlopig nog niet zichtbaar","No","Yes"
"Project Agile Development","FDMCI/I/HBO/ICTVT_1000PAD_18","6","Thu","2021-02-11","08:30","Thu","2021-02-11","11:50","3:20","project","","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104","HBO-ICT Voltijd","0","","No","Yes"
"Essential Skills Wiskunde","FDMCI/I/HBO/ICTVT_1000ESKW14","6","Fri","2021-02-12","10:20","Fri","2021-02-12","12:00","1:40","seminar / tutorial","Meijeringh, R.C., Rijsenbrij, C.J., Robertus, A., Roos, R., Ziskoven, B.","","FDMCI_IG101, FDMCI_IG102, FDMCI_IG103, FDMCI_IG104, FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104, FDMCI_IS105, FDMCI_IS106, FDMCI_IS107, FDMCI_IS108, FDMCI_IS109, FDMCI_IS110","HBO-ICT Voltijd","0","","No","Yes"
"Object Oriented Programming 2","FDMCI/I/HBO/ICTVT_1000OOP219","6","Fri","2021-02-12","12:00","Fri","2021-02-12","13:40","1:40","lecture","Fonteijn, L., Meijer, P.","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104, FDMCI_IS105, FDMCI_IS106, FDMCI_IS107, FDMCI_IS108, FDMCI_IS109, FDMCI_IS110","HBO-ICT Voltijd","0","","No","Yes"
"Research Skills","FDMCI/I/HBO/ICTVT_1000RSK_17","7","Mon","2021-02-15","11:10","Mon","2021-02-15","12:00","0:50","seminar / tutorial","Raaphorst, R. van","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Object Oriented Programming 2","FDMCI/I/HBO/ICTVT_1000OOP219","7","Mon","2021-02-15","12:50","Mon","2021-02-15","14:30","1:40","practical lab","Smith, M.","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Project Agile Development","FDMCI/I/HBO/ICTVT_1000PAD_18","7","Tue","2021-02-16","08:30","Tue","2021-02-16","11:50","3:20","project","Leek, P., Smith, M.","","FDMCI_IS103, FDMCI_IS104","HBO-ICT Voltijd","0","","No","Yes"
"Infrastructure","FDMCI/I/HBO/ICTVT_1000INF_18","7","Tue","2021-02-16","12:50","Tue","2021-02-16","14:30","1:40","seminar / tutorial","Meijer, F. van","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"OnCampus Jaar 1 SE","FDMCI/I/HBO/ICTVT_ONCAMPUS J1 SE","7","Wed","2021-02-17","12:40","Wed","2021-02-17","17:40","5:00","Onderwijs Gerelateerde Boeking","","","FDMCI_IS103a","HBO-ICT Voltijd","10","I.v.m. maatregelen regering lokaal voorlopig nog niet zichtbaar","No","Yes"
"Project Agile Development","FDMCI/I/HBO/ICTVT_1000PAD_18","7","Thu","2021-02-18","08:30","Thu","2021-02-18","11:50","3:20","project","","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104","HBO-ICT Voltijd","0","","No","Yes"
"Essential Skills Wiskunde","FDMCI/I/HBO/ICTVT_1000ESKW14","7","Fri","2021-02-19","10:20","Fri","2021-02-19","12:00","1:40","seminar / tutorial","Meijeringh, R.C., Rijsenbrij, C.J., Robertus, A., Roos, R., Ziskoven, B.","","FDMCI_IG101, FDMCI_IG102, FDMCI_IG103, FDMCI_IG104, FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104, FDMCI_IS105, FDMCI_IS106, FDMCI_IS107, FDMCI_IS108, FDMCI_IS109, FDMCI_IS110","HBO-ICT Voltijd","0","","No","Yes"
"Object Oriented Programming 2","FDMCI/I/HBO/ICTVT_1000OOP219","7","Fri","2021-02-19","12:00","Fri","2021-02-19","13:40","1:40","lecture","Fonteijn, L., Meijer, P.","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104, FDMCI_IS105, FDMCI_IS106, FDMCI_IS107, FDMCI_IS108, FDMCI_IS109, FDMCI_IS110","HBO-ICT Voltijd","0","","No","Yes"
"Research Skills","FDMCI/I/HBO/ICTVT_1000RSK_17","9","Mon","2021-03-01","11:10","Mon","2021-03-01","12:00","0:50","seminar / tutorial","Raaphorst, R. van","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Object Oriented Programming 2","FDMCI/I/HBO/ICTVT_1000OOP219","9","Mon","2021-03-01","12:50","Mon","2021-03-01","14:30","1:40","practical lab","Smith, M.","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Essential Skills Nederlands","FDMCI/I/HBO/ICTVT_1000ESKN16","9","Mon","2021-03-01","14:30","Mon","2021-03-01","16:10","1:40","seminar / tutorial","Kruidhof, S.","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Project Agile Development","FDMCI/I/HBO/ICTVT_1000PAD_18","9","Tue","2021-03-02","08:30","Tue","2021-03-02","11:50","3:20","project","Leek, P., Smith, M.","","FDMCI_IS103, FDMCI_IS104","HBO-ICT Voltijd","0","","No","Yes"
"Infrastructure","FDMCI/I/HBO/ICTVT_1000INF_18","9","Tue","2021-03-02","12:50","Tue","2021-03-02","14:30","1:40","seminar / tutorial","Meijer, F. van","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"OnCampus Jaar 1 SE","FDMCI/I/HBO/ICTVT_ONCAMPUS J1 SE","9","Wed","2021-03-03","12:40","Wed","2021-03-03","17:40","5:00","Onderwijs Gerelateerde Boeking","","","FDMCI_IS103a","HBO-ICT Voltijd","10","I.v.m. maatregelen regering lokaal voorlopig nog niet zichtbaar","No","Yes"
"Project Agile Development","FDMCI/I/HBO/ICTVT_1000PAD_18","9","Thu","2021-03-04","08:30","Thu","2021-03-04","11:50","3:20","project","","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104","HBO-ICT Voltijd","0","","No","Yes"
"Essential Skills Wiskunde","FDMCI/I/HBO/ICTVT_1000ESKW14","9","Fri","2021-03-05","10:20","Fri","2021-03-05","12:00","1:40","seminar / tutorial","Meijeringh, R.C., Rijsenbrij, C.J., Robertus, A., Roos, R., Ziskoven, B.","","FDMCI_IG101, FDMCI_IG102, FDMCI_IG103, FDMCI_IG104, FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104, FDMCI_IS105, FDMCI_IS106, FDMCI_IS107, FDMCI_IS108, FDMCI_IS109, FDMCI_IS110","HBO-ICT Voltijd","0","","No","Yes"
"Object Oriented Programming 2","FDMCI/I/HBO/ICTVT_1000OOP219","9","Fri","2021-03-05","12:00","Fri","2021-03-05","13:40","1:40","lecture","Fonteijn, L., Meijer, P.","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104, FDMCI_IS105, FDMCI_IS106, FDMCI_IS107, FDMCI_IS108, FDMCI_IS109, FDMCI_IS110","HBO-ICT Voltijd","0","","No","Yes"
"Research Skills","FDMCI/I/HBO/ICTVT_1000RSK_17","10","Mon","2021-03-08","11:10","Mon","2021-03-08","12:00","0:50","seminar / tutorial","Raaphorst, R. van","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Object Oriented Programming 2","FDMCI/I/HBO/ICTVT_1000OOP219","10","Mon","2021-03-08","12:50","Mon","2021-03-08","14:30","1:40","practical lab","Smith, M.","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Project Agile Development","FDMCI/I/HBO/ICTVT_1000PAD_18","10","Tue","2021-03-09","08:30","Tue","2021-03-09","11:50","3:20","project","Leek, P., Smith, M.","","FDMCI_IS103, FDMCI_IS104","HBO-ICT Voltijd","0","","No","Yes"
"Infrastructure","FDMCI/I/HBO/ICTVT_1000INF_18","10","Tue","2021-03-09","12:50","Tue","2021-03-09","14:30","1:40","seminar / tutorial","Meijer, F. van","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"OnCampus Jaar 1 SE","FDMCI/I/HBO/ICTVT_ONCAMPUS J1 SE","10","Wed","2021-03-10","12:40","Wed","2021-03-10","17:40","5:00","Onderwijs Gerelateerde Boeking","","","FDMCI_IS103a","HBO-ICT Voltijd","10","I.v.m. maatregelen regering lokaal voorlopig nog niet zichtbaar","No","Yes"
"Project Agile Development","FDMCI/I/HBO/ICTVT_1000PAD_18","10","Thu","2021-03-11","08:30","Thu","2021-03-11","11:50","3:20","project","","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104","HBO-ICT Voltijd","0","","No","Yes"
"Essential Skills Wiskunde","FDMCI/I/HBO/ICTVT_1000ESKW14","10","Fri","2021-03-12","10:20","Fri","2021-03-12","12:00","1:40","seminar / tutorial","Meijeringh, R.C., Rijsenbrij, C.J., Robertus, A., Roos, R., Ziskoven, B.","","FDMCI_IG101, FDMCI_IG102, FDMCI_IG103, FDMCI_IG104, FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104, FDMCI_IS105, FDMCI_IS106, FDMCI_IS107, FDMCI_IS108, FDMCI_IS109, FDMCI_IS110","HBO-ICT Voltijd","0","","No","Yes"
"Object Oriented Programming 2","FDMCI/I/HBO/ICTVT_1000OOP219","10","Fri","2021-03-12","12:00","Fri","2021-03-12","13:40","1:40","lecture","Fonteijn, L., Meijer, P.","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104, FDMCI_IS105, FDMCI_IS106, FDMCI_IS107, FDMCI_IS108, FDMCI_IS109, FDMCI_IS110","HBO-ICT Voltijd","0","","No","Yes"
"Research Skills","FDMCI/I/HBO/ICTVT_1000RSK_17","11","Mon","2021-03-15","11:10","Mon","2021-03-15","12:00","0:50","seminar / tutorial","Raaphorst, R. van","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Object Oriented Programming 2","FDMCI/I/HBO/ICTVT_1000OOP219","11","Mon","2021-03-15","12:50","Mon","2021-03-15","14:30","1:40","practical lab","Smith, M.","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Essential Skills Nederlands","FDMCI/I/HBO/ICTVT_1000ESKN16","11","Mon","2021-03-15","14:30","Mon","2021-03-15","16:10","1:40","seminar / tutorial","Kruidhof, S.","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"Project Agile Development","FDMCI/I/HBO/ICTVT_1000PAD_18","11","Tue","2021-03-16","08:30","Tue","2021-03-16","11:50","3:20","project","Leek, P., Smith, M.","","FDMCI_IS103, FDMCI_IS104","HBO-ICT Voltijd","0","","No","Yes"
"Infrastructure","FDMCI/I/HBO/ICTVT_1000INF_18","11","Tue","2021-03-16","12:50","Tue","2021-03-16","14:30","1:40","seminar / tutorial","Meijer, F. van","","FDMCI_IS103","HBO-ICT Voltijd","0","","No","Yes"
"OnCampus Jaar 1 SE","FDMCI/I/HBO/ICTVT_ONCAMPUS J1 SE","11","Wed","2021-03-17","12:40","Wed","2021-03-17","17:40","5:00","Onderwijs Gerelateerde Boeking","","","FDMCI_IS103a","HBO-ICT Voltijd","10","I.v.m. maatregelen regering lokaal voorlopig nog niet zichtbaar","No","Yes"
"Project Agile Development","FDMCI/I/HBO/ICTVT_1000PAD_18","11","Thu","2021-03-18","08:30","Thu","2021-03-18","11:50","3:20","project","","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104","HBO-ICT Voltijd","0","","No","Yes"
"Essential Skills Wiskunde","FDMCI/I/HBO/ICTVT_1000ESKW14","11","Fri","2021-03-19","10:20","Fri","2021-03-19","12:00","1:40","seminar / tutorial","Meijeringh, R.C., Rijsenbrij, C.J., Robertus, A., Roos, R., Ziskoven, B.","","FDMCI_IG101, FDMCI_IG102, FDMCI_IG103, FDMCI_IG104, FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104, FDMCI_IS105, FDMCI_IS106, FDMCI_IS107, FDMCI_IS108, FDMCI_IS109, FDMCI_IS110","HBO-ICT Voltijd","0","","No","Yes"
"Object Oriented Programming 2","FDMCI/I/HBO/ICTVT_1000OOP219","11","Fri","2021-03-19","12:00","Fri","2021-03-19","13:40","1:40","lecture","Fonteijn, L., Meijer, P.","","FDMCI_IS101, FDMCI_IS102, FDMCI_IS103, FDMCI_IS104, FDMCI_IS105, FDMCI_IS106, FDMCI_IS107, FDMCI_IS108, FDMCI_IS109, FDMCI_IS110","HBO-ICT Voltijd","0","","No","Yes"
